Latitude,Longitude,offset
43.67171211911842,-79.39087785766945,0
43.67400936320143,-79.3911703141845,0
43.67313932616869,-79.38993775711155,0
43.67326003592302,-79.39223544614256,0
43.67240299641043,-79.39054029573376,0
43.672023985933066,-79.3904041943312,0
43.67294231363663,-79.39275560878453,0
43.6728675274303,-79.39249283790004,0
43.67404027889946,-79.39151069796715,0
43.67346335029542,-79.39002526116025,0
43.67149577876821,-79.39153599708133,0
43.67392560334847,-79.3901015183077,0
43.67162573334726,-79.39016693581965,0
43.673526820971134,-79.39258959259455,0
43.67298288159448,-79.39253210374731,0
43.67372951616886,-79.39244263444168,0
43.673005647120114,-79.39183679680059,0
43.67168917084644,-79.39288231642327,0
43.67169799004685,-79.39061200607071,0
43.67227502818715,-79.39204051205415,0
43.6729877052715,-79.39107439870986,0
43.67316286695221,-79.39190585360149,0
43.67338539433074,-79.39170711898704,0
43.67347314963028,-79.391177798599,0
43.672969830770086,-79.39222494081027,0
43.67358331549167,-79.39254418607976,0
43.67229746538485,-79.39065098255833,0
43.67250371474951,-79.3906309326124,0
43.678634924359606,-79.39193122949172,0
43.67579275604587,-79.39260424619476,0
43.67714749717215,-79.39237681757469,0
43.67616642885936,-79.39122585300697,0
43.67818821627697,-79.39154639619981,0
43.67598073148442,-79.39045251198063,0
43.67795612359536,-79.39236846628233,0
43.67761114420719,-79.39209216273314,0
43.67700036968342,-79.3904424055632,0
43.67711320208441,-79.39261192207749,0
43.67738799631925,-79.39253449511192,0
43.67664992755727,-79.39138260814353,0
43.67805809345809,-79.39111956350774,0
43.67725238675009,-79.39275303366763,0
43.67582361056019,-79.39242196773817,0
43.67835724064346,-79.39057142907313,0
43.67605929803533,-79.39169563791597,0
43.67844471518142,-79.39190837766851,0
43.67640009135064,-79.39168135828405,0
43.67842283216039,-79.39211350950903,0
43.67797468076361,-79.39251512762955,0
43.67748626412544,-79.39064437715474,0
43.67620166024688,-79.39053137354149,0
43.67816728663549,-79.39192065825802,0
43.67767901089356,-79.39093781710329,0
43.67567247577403,-79.39041745652077,0
43.66830528387312,-79.39279681815894,0
43.667746688108096,-79.3901606043211,0
43.66883435781274,-79.39111310893121,0
43.66768460453464,-79.39204980913824,0
43.666659215111736,-79.39286844580919,0
43.666684457795455,-79.3914601952,0
43.66895697136822,-79.39195263355688,0
43.6687283917929,-79.39152492537448,0
43.66820559435495,-79.39277974059353,0
43.66778066284776,-79.39028245593938,0
43.66767702902237,-79.39259283845537,0
43.66789696343808,-79.3914789511911,0
43.66916360944719,-79.38997029828307,0
43.667838027996254,-79.39278217775572,0
43.66700724561304,-79.39242919758284,0
43.669005654502335,-79.39046012643765,0
43.6678195757346,-79.39047623241909,0
43.66767473399556,-79.3920139484409,0
43.6668597464947,-79.39067159656581,0
43.66821250581481,-79.39120739435933,0
43.66842959387651,-79.39142947488767,0
43.66760128250925,-79.39120950943794,0
43.66681657080649,-79.39192403059648,0
43.66863311739751,-79.39191364227563,0
43.6692661936983,-79.39232158266596,0
43.6693033377435,-79.39060352372412,0
43.66712346237984,-79.39257644549429,0
43.66878972906948,-79.39074823288541,0
43.67167603605032,-79.39903821189048,0
43.67371176610623,-79.39693011638205,0
43.67397629357766,-79.39861262044188,0
43.67206946644188,-79.396841154604,0
43.67161312183676,-79.39744147235088,0
43.67169106092024,-79.39653036667526,0
43.6724480035497,-79.39787758226399,0
